Informazioni cronologiche,Which continent are you from?,Gender,Age,Education degree,"On avarage, how much time do you spend  playing video games per day  ?",What style of video game do you prefer?,"If you selected ""Other"", please specify here",Do you believe video games are a form of art?,"If you selected ""It depends,"" you can specify here.",Is there a video game that has taught you something useful for your academic or professional education?,"If you pressed ""Yes,"" please write which video games have been more useful to you.",Which device do you prefer when it comes to gaming?,"
If you selected ""Other,"" please specify here",Which video games do you believe have enriched you culturally regarding mythology or history?,"If you selected ""Other,"" please respond here","
Do you think it's possible to use video games that have not been designed for educational purposes as educational tools?","If you selected ""It depends,"" you can specify here",Do you believe online video games can facilitate connections between people and offer an alternative to traditional social interaction?,"If you selected ""It depends,"" you can specify here.",Have you ever thought about creating a video game?,"Do you think a video game has inspired you to deepen your knowledge on a subject (for example, literary, cultural, historical, social, scientific, artistic, etc.)?","
Have you ever learned another language or improved your language skills through video games, both online and in single-player mode?","
If you selected ""Other,"" please specify here","In your opinion, is it possible to compare the narrative importance of a video game to that of more traditional media such as books, films, or animation products?",Do you believe that video games have taught you to solve problems in a creative and original way (problem solving)?,"Do you engage in  sport or physical activity?
","Do you think Esports (electronic sports) can be considered a professional practice (for example, League of legends, Counter-strike, Street fighter, StarCraft, Assetto Corsa)?","
Have you improved your social skills thanks to video games? (e.g., communication, expression, empathy, etc.)","Do you prefer the company of people who don't play video games, or of people who share this passion with you?"
20/04/2024 15.08.11,Oceania,Male,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Single player,,Yes,,Yes,"Very basic example, but knowing the basic layout of Greece from AC Odyssey was very useful in Ancient History, while everyone else wasted a lesson or two getting familiar with where everything was, me and the kid who was from Greece were able to move on and it gave us an advantage of being 1 lesson ahead. Also, I believe games are useful with more basic things like Math and Language, while also being able to help with higher order thinking, and critical thinking when it comes to strategy and puzzle games. The wide variety in genres really assists in being able to aid up to a basic level with a wide variety of skillets and knowledges, in the same way a character in a story (videogame or otherwise) can have an impact on you as well. I've personally been affected by different characters, some from my family, some are friends, and some are characters, ones like Kratos (God of War), Arthur Morgan (Red Dead Redemption II), Uncle Iroh (Avatar: The Last Airbender), and so many more have inspired me to be a better person in many different ways. Sorry for the massive rant, I'm quite passionate about this and finally have an excuse to type it out lol.","Console, Portable consoles, PC, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Sid Meier's Civilization",,Yes,,It depends (please specify),"Personally, I believe online is not an adequate substitute for face-to-face physical human connection, but it's perfect for use alongside it. If you have friends online you don't speak to irl, and friends irl you don't play games with, and friends that are a bit of both, that is fine, however online doesn't do the job completely on its own.",Yes,Yes,Other (Specify),"I've picked up a few random words from different games, AC, RDR2, God of War, Ghost of Tsushima, and probably a couple others, but it's by no means a lot. Does Duolingo count? I'm starting to pick up Portuguese through that, I'd say it's kinda a game, it's very close at least.",Yes,Yes,"Yes, every week.",No,No,I have no preference
20/04/2024 15.11.24,Europe,Male,Millennials (1981-1996),Bachelor's degree or higher,7 hours or more,Both,,Yes,,No,,PC,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades, Age of Empire, Ryse son of rome",,Yes,,Yes,,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,"Yes, every day.",Yes,Yes,I have no preference
20/04/2024 15.13.07,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Single player,,Yes,,No,,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades, Age of Empire",,Yes,,Yes,,No,Yes,"No, I haven't learned another language.",,Yes,No,"Yes, every week.",No,No,I prefer the company of gamers
20/04/2024 15.16.02,Europe,Female,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,No,,"Console, Portable consoles",,"God of War (saga Greca), God of war (saga norrena), Sid Meier's Civilization",,Yes,,Yes,,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,Rarely or almost never.,Yes,No,I have no preference
20/04/2024 15.16.15,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Single player,,Yes,,I don't know,,Console,,God of War (saga Greca),,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I prefer the company of gamers
20/04/2024 15.17.18,Asia,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Both,,It depends (please specify),"Theres a major difference between true art (amazing gameplay, story, characters) etc and mass produced garbage",Yes,"Effective communication, problem solving and patience","PC, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades",,Yes,,It depends (please specify),"To an extent it can, however we cannot substitute true interaction with that in video games as many facets of communication like body language are losf.",I have done it.,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Less than once a week.,Yes,No,I prefer the company of gamers
20/04/2024 15.17.39,Asia,Male,Generation Z (1997-2012),Bachelor's degree or higher,4-6 hours,Both,,Yes,,Yes,Assassins creed ,Console,,Assassin's creed (saga),,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I prefer the company of gamers
20/04/2024 15.17.42,Asia,Male,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Both,,Yes,,Yes,Final Fantasy games,"Console, Portable consoles, VR",,Other (please specify),Final Fantasy games,Yes,,Yes,,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,Less than once a week.,No,Yes,I have no preference
20/04/2024 15.18.18,Europe,Male,Generation Z (1997-2012),Bachelor's degree or higher,I don't play regularly,Single player,,Yes,,Yes,"Paradox games (Victoria II, Stellaris, EU 4), Age of Empires 1/2 ","Console, PC",,"Assassin's creed (saga), God of war (saga norrena), Age of Empire",,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every day.",Yes,Yes,I have no preference
20/04/2024 15.18.35,Europe,Male,Generation Z (1997-2012),Middle school diploma,2-3 hours,Single player,,Yes,,I don't know,,"Console, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Yes,,Yes,,No,Yes,"Yes, I have learned another language.",,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
20/04/2024 15.20.17,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Both,,Yes,,Yes,Nier: Automata for sure. FF7 too,Console,,Age of Empire,,It depends (please specify),"If they aren't supposed to be educational, they still can be if the plot of the game revolves around the educational subject in some way",Yes,,No,Yes,"Yes, I have learned another language.",,Yes,No,"Yes, every day.",Yes,Yes,I prefer the company of gamers
20/04/2024 15.21.07,Europe,Male,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,Yes,Assassin's creed ,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Sid Meier's Civilization, Ryse son of rome, Immortals fenyx rising",,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
20/04/2024 15.24.53,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Both,,Yes,,Yes,Assassin's creed games and other History inspired games have taught me alot of things and have inspired me to continues my academic Journey with history,"Console, PC",,"Assassin's creed (saga), Sid Meier's Civilization",,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every day.",Yes,Yes,I have no preference
20/04/2024 15.26.01,America,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Multiplayer Online,,Yes,,No,,PC,,Assassin's creed (saga),,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every day.",Yes,Yes,I have no preference
20/04/2024 15.27.49,America,I prefer not to specify it,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Single player,,Yes,,I don't know,,"Console, PC",,Assassin's creed (saga),,Yes,,Yes,,Yes,Yes,Other (Specify),"though not improving language too much, it uas given me a greater appreciation for language and culture.",Yes,Yes,Rarely or almost never.,Yes,No,I prefer the company of gamers
20/04/2024 15.28.01,Oceania,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Both,,Yes,,Yes,"Many historical games, tactical games and other random ones","Console, PC, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades",,Yes,,Yes,,I have done it.,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every day.",Yes,No,I prefer the company of gamers
20/04/2024 15.29.04,America,Other,Generation Z (1997-2012),Bachelor's degree or higher,Less than an hour,Single player,,Yes,,Yes,"Learned English from FF VII, learned patience and strategy in StarCraft, learn a myriad of things playing rpgs in general. And not in the ""useful"" category but, every single game you play can show you a new world, or a corner of ours with a touch of inspiration from the artist, not useful but fullfiling.","Console, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Age of Empire",,Yes,,Yes,,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,Rarely or almost never.,No,Yes,I have no preference
20/04/2024 15.32.04,Oceania,Male,Generation Z (1997-2012),High school diploma or equivalent,7 hours or more,Both,,Yes,,Yes,Assassin's Creed 4.,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades, Immortals fenyx rising",,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Rarely or almost never.,Yes,No,I have no preference
20/04/2024 15.35.05,Oceania,Male,Millennials (1981-1996),High school diploma or equivalent,2-3 hours,Both,,Yes,,Yes,"Many puzzle games such as Myst, Outer Wilds, and Portal have helped me develop skills to solve problems by seeking information and approaching situations in different ways.","PC, VR",,No video game has enriched me culturally in terms of mythology or history.,,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,No,I have no preference
20/04/2024 15.36.54,America,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Single player,,Yes,,Yes,Problem sllving and critical thinking.,PC,,"Assassin's creed (saga), Sid Meier's Civilization",,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
20/04/2024 15.38.35,Asia,Male,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,Yes,"Witcher 3, Nier: Automata, Subnautica, Stardew Valley, Va-11 Hall-a, ...",PC,,"God of War (saga Greca), God of war (saga norrena)",,Yes,,It depends (please specify),The older MMORPG games have something that can create connections between players that I rarely see with present games,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,Rarely or almost never.,Yes,No,I prefer the company of gamers
20/04/2024 15.39.23,America,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Multiplayer Online,,Yes,,No,,"PC, Smartphone /Tablet",,Hades,,Yes,,Yes,,No,Yes,"No, I haven't learned another language.",,Yes,Yes,Less than once a week.,Yes,No,I prefer the company of gamers
20/04/2024 15.40.18,America,Female,Millennials (1981-1996),Professional training,I don't play regularly,Both,,Yes,,I don't know,,"Console, PC",,Assassin's creed (saga),,Yes,,Yes,,No,Yes,"No, I haven't learned another language.",,Yes,Yes,Rarely or almost never.,Yes,No,I have no preference
20/04/2024 15.40.54,America,Male,Generation Z (1997-2012),High school diploma or equivalent,7 hours or more,Single player,,It depends (please specify),"It depends on how you look at the game, some games like rdr2 can be seen as art but could be seen as just another shoot em up by someone else, it truly depends on what game is being discussed",Yes,The Long Dark,"Console, VR, Soffitto sconosciuto",,Assassin's creed (saga),,It depends (please specify),"As stated earlier, it depends on what game",No,,I have done it.,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every day.",Yes,Yes,I have no preference
20/04/2024 15.41.58,America,Female,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,No,,Console,,"Assassin's creed (saga), Immortals fenyx rising",,Yes,,Yes,,No,Yes,"No, I haven't learned another language.",,Yes,No,Rarely or almost never.,Yes,Yes,I have no preference
20/04/2024 15.42.28,Asia,Male,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Both,,Yes,,Yes,Monster hunter world taught me how to make my English better,Console,,"Hades, Other (please specify)","Battlefield 1 taught about WW1, smite taught me about mythology",Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Less than once a week.,Yes,Yes,I prefer the company of gamers
20/04/2024 15.43.07,Europe,Male,Generation Z (1997-2012),Middle school diploma,Less than an hour,Single player,,Yes,,Yes,"Help the ones in need, they will become friends or at least tolerate you.","Console, PC, Smartphone /Tablet",,Assassin's creed (saga),,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
20/04/2024 15.43.39,America,Male,Generation X (1965-1980),High school diploma or equivalent,2-3 hours,Single player,,Yes,,No,,PC,,"Assassin's creed (saga), Age of Empire, Sid Meier's Civilization",,Yes,,No,,No,Yes,"No, I haven't learned another language.",,Yes,No,Less than once a week.,No,No,I have no preference
20/04/2024 15.44.05,America,Male,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Both,,It depends (please specify),"It depends on the game, I don't believe a FPS game like Call Of Duty is ""art"". But a puzzle adventure kind of game where artstyle is a main focus (a game like Life is Strange"") I do believe is a form of art",Yes,"The Assassins Creed franchise, especially AC Odyssey. (Side note, but there's a video online of a teacher using AC Odyssey to teach his class)",Console,,"Assassin's creed (saga), Sid Meier's Civilization",,"Yes, and I use them",,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every day.",Yes,No,I have no preference
20/04/2024 15.46.46,America,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Single player,,Yes,,I don't know,,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Yes,,I refrain from judgment.,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
20/04/2024 15.49.27,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Single player,,Yes,,Yes,The assassins creed games have helped to introduce and inspire exploration into ancient history and its leading figures. This has in turn impacted my own research into the history and development of societies over time.,Console,,"Assassin's creed (saga), God of War (saga Greca), Age of Empire",,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,No,Yes,"Yes, every week.",Yes,Yes,I have no preference
20/04/2024 15.49.34,America,Male,Generation Z (1997-2012),Middle school diploma,Less than an hour,Both,,Yes,,I don't know,,"Console, Smartphone /Tablet",,"Assassin's creed (saga), Immortals fenyx rising",,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
20/04/2024 15.49.57,America,Male,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Both,,Yes,,Yes,I love the assassins creed games because of their historical contexts. It’s fun to play and then when visiting those countries see the places the game was based on. It encourages me to learn more about history. ,Console,,Assassin's creed (saga),,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
20/04/2024 15.50.10,America,Male,Generation X (1965-1980),Professional training,2-3 hours,Single player,,Yes,,No,,"Console, VR, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Yes,,It depends (please specify),"As long as the game player maintains other appropriate social interactions on a daily basis, ie work, friends ",No,Yes,"No, I haven't learned another language.",,Yes,Yes,Less than once a week.,No,No,I have no preference
20/04/2024 15.53.01,Asia,Female,Generation Z (1997-2012),High school diploma or equivalent,Less than an hour,Single player,,Yes,,Yes,"Genshin & Nier Automata ( the comparison of how models are sculpted & the diff in polymesh count between games meant for different platforms, mobile vs consoles)","Console, PC, Smartphone /Tablet",,Hades,,Yes,,Yes,,No,Yes,"No, I haven't learned another language.",,Yes,Yes,Rarely or almost never.,Yes,Yes,I prefer the company of gamers
20/04/2024 15.53.38,America,Male,Millennials (1981-1996),Bachelor's degree or higher,Less than an hour,Single player,,Yes,,I don't know,,PC,,"Assassin's creed (saga), God of War (saga Greca), Immortals fenyx rising",,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",No,No,I have no preference
20/04/2024 15.54.24,Europe,Female,Millennials (1981-1996),Bachelor's degree or higher,4-6 hours,Both,,Yes,,Yes,Assassin's Creed Odyssey ,Console,,"Assassin's creed (saga), Immortals fenyx rising",,Yes,,Yes,,No,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every day.",Yes,Yes,I have no preference
20/04/2024 15.54.29,America,Male,Millennials (1981-1996),Bachelor's degree or higher,Less than an hour,Single player,,Yes,,No,,Console,,Hades,,Yes,,Yes,,Yes,No,"No, I haven't learned another language.",,Yes,Yes,"Yes, every day.",Yes,No,I have no preference
20/04/2024 15.57.42,Europe,Female,Generation Z (1997-2012),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,I don't know,,"Console, Portable consoles, PC, Smartphone /Tablet",,No video game has enriched me culturally in terms of mythology or history.,,It depends (please specify),It depends on how accurate the information is in game,Yes,,No,Yes,I have enhanced my knowledge of another language,,No,Yes,Rarely or almost never.,Yes,No,I prefer the company of gamers
20/04/2024 15.59.56,America,Female,Millennials (1981-1996),High school diploma or equivalent,7 hours or more,Single player,,Yes,,Yes,"I don't need to have anyone believe in me, make me happy, I can do it myself and nobody can make me happy the way I can. ","Console, Portable consoles, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades, Sid Meier's Civilization",,Yes,,Yes,,No,Yes,Other (Specify),I've learned words in different languages and I've thought of learning that language but I haven't done it yet ,Yes,Yes,"Yes, every week.",Yes,Yes,I prefer the company of gamers
20/04/2024 16.01.40,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,I don't play regularly,Single player,,Yes,,Yes,Sid meiers civilization 6,PC,,"Sid Meier's Civilization, Ryse son of rome, Other (please specify)",Witcher 3,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
20/04/2024 16.03.25,Europe,Male,Generation Z (1997-2012),Bachelor's degree or higher,2-3 hours,Both,,Yes,,Yes,Fire Emblem games and Genshin Impact helped me improving my English quite a lot,PC,,Other (please specify),Genshin Impact (regarding mythology),It depends (please specify),"Depends on the type of game and it's content. For instance, I can't imagine games like GTA or Fall guys serving as educational tool. Games that requires strategy or teamwork however could be useful imo",It depends (please specify),"Yes, but it depends on the community and how the game company deals with it. If we take the most popular riot games, the answer would lean towards a No, because of the toxicity. Genshin Impact has been the best experience for me in this regard, I've met people in-game or through streaming that I now talk to every week or almost every day ",No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Less than once a week.,Yes,Yes,I prefer the company of gamers
20/04/2024 16.03.56,Europe,Other,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Both,,Yes,,I don't know,,"Portable consoles, PC",,"Assassin's creed (saga), Hades, Immortals fenyx rising",,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I prefer the company of gamers
20/04/2024 16.06.36,Europe,I prefer not to specify it,Generation X (1965-1980),Bachelor's degree or higher,Less than an hour,Single player,,No,,No,,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Age of Empire",,Yes,,I refrain from judgment.,,No,No,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",No,No,I have no preference
20/04/2024 16.07.14,America,Male,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,Yes,"Skyrim, KOTOR, Witcher 1 - 3",Console,,Assassin's creed (saga),,Yes,,It depends (please specify),"Many of these connections are not especially healthy.  It depends on the participants and, to some extent, the games themselves. ",No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every day.",No,No,I have no preference
20/04/2024 16.07.49,America,Male,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Single player,,It depends (please specify),Yes. Button was not working.,Yes,"Assassin's Creed games, while obviiusly fictional, contain many historically accurate figures, places, art, and culture.",Console,,"Assassin's creed (saga), Sid Meier's Civilization",,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
20/04/2024 16.10.13,America,Female,Millennials (1981-1996),Professional training,2-3 hours,Single player,,Yes,,Yes,"Assassin's creed is great in history mode. Hunting simulations are also excellent, but that's a hobby not a profession for me.",Console,,Assassin's creed (saga),,Yes,,I refrain from judgment.,,No,Yes,I have enhanced my knowledge of another language,,Yes,No,"Yes, every week.",No,No,I have no preference
20/04/2024 16.12.57,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Both,,Yes,,No,,"PC, VR",,"Assassin's creed (saga), Hades, Immortals fenyx rising",,Yes,,Yes,,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,Less than once a week.,Yes,Yes,I prefer the company of gamers
20/04/2024 16.13.50,Europe,Male,Millennials (1981-1996),High school diploma or equivalent,2-3 hours,Single player,,Yes,,No,,"Console, Portable consoles, PC, VR",,Assassin's creed (saga),,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I prefer the company of gamers
20/04/2024 16.15.11,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Both,,Yes,,Yes,Assassin’s Creed series,PC,,Assassin's creed (saga),,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Rarely or almost never.,Yes,Yes,I have no preference
20/04/2024 16.15.16,America,Female,Generation X (1965-1980),Bachelor's degree or higher,2-3 hours,Single player,,It depends (please specify),"Some are art, some are just a developed product. ",No,,Console,,Assassin's creed (saga),,Yes,,I refrain from judgment.,,No,No,"No, I haven't learned another language.",,Yes,No,"Yes, every week.",No,No,I have no preference
20/04/2024 16.16.53,America,Male,Generation Z (1997-2012),High school diploma or equivalent,I don't play regularly,Single player,,Yes,,Yes,"Back in 2017, I played Assassins Creed Origins for the first time and it sparked my interest in history. Now I plan on studying to become a History professor",PC,,"Assassin's creed (saga), Other (please specify)",Hearts of Iron IV,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every week.",Yes,No,I have no preference
20/04/2024 16.18.51,Africa,Female,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Single player,,It depends (please specify),"It depends. I know games need to make profit but of the entire focus is on profit, it doesnt turn into art, it becomes like a printed plaatic cup. Video games have many aspects to them. Visual, story telling, system and finally, how they make the player feel. All these are combined to be either a great piece of art or just a printed plastic cup.",Yes,"When i was young (age 9 -14) learned English, learned terminologies and many things that existed in different time periods. Now (i am 27) philosophy (nier automata) observation, mythology, rare real life creature, certaim mechanics, politics sometimes etc","Console, PC",,Other (please specify),"Steambot chronicles, final fnatasy series",It depends (please specify),"If we have a way to verify the info provided, then yes. Because sometimes they change up a lot or twist it to instill certain agendas etc",Yes,,Yes,Yes,"Yes, I have learned another language.",I learned Japanese but mainly from self-studying and the games helped me almost 90% in the journey ,Yes,Yes,"Yes, every day.",No,Yes,I prefer the company of gamers
20/04/2024 16.19.01,America,Female,Millennials (1981-1996),High school diploma or equivalent,7 hours or more,Both,,Yes,,Yes,Harvest Moon taught me how to read as a young child.,"Console, PC",,Sid Meier's Civilization,,"Yes, and I use them",,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Less than once a week.,Yes,Yes,I prefer the company of gamers
20/04/2024 16.19.37,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Both,,Yes,,I don't know,,"Console, Portable consoles, PC, Smartphone /Tablet",,Assassin's creed (saga),,Yes,,Yes,,No,Yes,"No, I haven't learned another language.",,No,No,Rarely or almost never.,Yes,No,I prefer the company of gamers
20/04/2024 16.20.10,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Both,,Yes,,I don't know,,"Console, PC",,"Assassin's creed (saga), Age of Empire, Ryse son of rome",,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
20/04/2024 16.20.48,America,Male,Generation Z (1997-2012),Bachelor's degree or higher,I don't play regularly,Single player,,Yes,,No,,Console,,"Assassin's creed (saga), God of War (saga Greca)",,Yes,,Yes,,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,Rarely or almost never.,No,No,I have no preference
20/04/2024 16.22.35,America,Male,Millennials (1981-1996),Professional training,Less than an hour,Single player,,Yes,,I don't know,,PC,,God of War (saga Greca),,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,No,I have no preference
20/04/2024 16.24.20,Europe,Male,Generation Z (1997-2012),None,I don't play regularly,Single player,,Yes,,Yes,"Assassins Creed, history.","Console, PC, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Rarely or almost never.,Yes,No,I prefer the company of gamers
20/04/2024 16.25.30,America,Male,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Both,,Yes,,No,,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Age of Empire",,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every day.",Yes,Yes,I have no preference
20/04/2024 16.26.22,Asia,Male,Generation Z (1997-2012),Bachelor's degree or higher,7 hours or more,Both,I didn’t.,Yes,I didn’t.,Yes,"Games like: God Of War, Assassin’s Creed and many others. Even though they may not be 100% accurate, still taught me some thing.",Other (please specify),All.,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",I didn’t.,"Yes, and I use them",I didn’t.,Yes,I didn't.,I have done it.,Yes,"Yes, I have learned another language.",I didn’t.,Yes,Yes,"Yes, every day.",Yes,Yes,I prefer the company of gamers
20/04/2024 16.27.46,Europe,Female,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Single player,,Yes,,No,,"Console, PC, Smartphone /Tablet",,Assassin's creed (saga),,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,Less than once a week.,No,No,I have no preference
20/04/2024 16.28.09,Europe,Male,Generation Z (1997-2012),Bachelor's degree or higher,4-6 hours,Both,,Yes,,No,,PC,,Sid Meier's Civilization,,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,Rarely or almost never.,Yes,No,I have no preference
20/04/2024 16.28.19,Europe,Female,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Both,,Yes,,Yes,Assassins creed for history and other games for knowledge can’t remember names but helped me in my gcses,"Console, PC",,"Assassin's creed (saga), Other (please specify)",Kingdom come deliverance   Medieval dynasty,Yes,,No,,I have done it.,Yes,I have enhanced my knowledge of another language,,No,Yes,"Yes, every day.",No,No,I have no preference
20/04/2024 16.28.39,America,Male,Generation Z (1997-2012),Bachelor's degree or higher,4-6 hours,Multiplayer Online,,Yes,,Yes,Assassins creed odyssey (historically accurate) league of legends (typing and cooperation with angry customers) ,"Console, Portable consoles, PC",,Assassin's creed (saga),,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every day.",Yes,Yes,I prefer the company of gamers
20/04/2024 16.29.07,Europe,Female,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Single player,,Yes,,No,,Console,,No video game has enriched me culturally in terms of mythology or history.,,Yes,,Yes,,No,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every day.",No,Yes,I have no preference
